# Program:featureCounts v2.0.1; Command:"featureCounts" "-T" "16" "-p" "-P" "-B" "-a" "/home/duc/dbMisc/M145.gff" "-t" "gene" "-g" "locus_tag" "--minOverlap" "20" "--fracOverlap" "0.25" "-o" "gene_counts_filtered/D45_3.txt" "align/D45_3.bam" 
Geneid	Chr	Start	End	Strand	Length	align/D45_3.bam
SCO0001	NC_003888.3	446	1123	+	678	41
SCO0002	NC_003888.3	1252	3813	+	2562	178
SCO0003	NC_003888.3	3869	6220	+	2352	110
SCO0004	NC_003888.3	6226	7173	+	948	288
SCO0005	NC_003888.3	7187	9307	+	2121	265
SCO0006	NC_003888.3	9304	10410	+	1107	33
SCO0007	NC_003888.3	10554	11000	-	447	6
SCO0008	NC_003888.3	11010	11360	-	351	2
SCO0009	NC_003888.3	11617	11952	-	336	12
SCO0010	NC_003888.3	12366	13457	+	1092	100
SCO0011	NC_003888.3	13214	14023	-	810	80
SCO0012	NC_003888.3	14044	14454	-	411	116
SCO0013	NC_003888.3	14739	15029	-	291	8
SCO0014	NC_003888.3	15317	15595	-	279	14
SCO0015	NC_003888.3	16070	17302	-	1233	14
SCO0016	NC_003888.3	17715	17918	+	204	11
SCO0017	NC_003888.3	17919	18263	+	345	16
SCO0018	NC_003888.3	18485	19351	-	867	130
SCO0019	NC_003888.3	19517	19771	-	255	25
SCO0020	NC_003888.3	19974	21620	+	1647	58
SCO0021	NC_003888.3	21617	22210	+	594	51
SCO0022	NC_003888.3	22156	22761	-	606	12
SCO0025	NC_003888.3	22843	23061	+	219	7
SCO0026	NC_003888.3	23316	23831	+	516	93
SCO0027	NC_003888.3	23977	24345	-	369	40
SCO0028	NC_003888.3	24378	24521	-	144	11
SCO0029	NC_003888.3	24644	24943	+	300	15
SCO0030	NC_003888.3	25251	25871	+	621	24
SCO0031	NC_003888.3	25843	26385	-	543	63
SCO0033	NC_003888.3	26527	28773	-	2247	30
SCO0034	NC_003888.3	29040	29519	+	480	13
SCO0035	NC_003888.3	29605	30054	-	450	11
SCO0036	NC_003888.3	30116	30355	-	240	29
SCO0037	NC_003888.3	30379	31131	-	753	206
SCO0038	NC_003888.3	31146	31274	-	129	154
SCO0039	NC_003888.3	31520	32137	+	618	32
SCO0040	NC_003888.3	32134	33357	+	1224	34
SCO0041	NC_003888.3	33360	33845	+	486	11
SCO0042	NC_003888.3	33842	34777	+	936	85
SCO0043	NC_003888.3	35179	35907	-	729	727
SCO0044	NC_003888.3	36006	36674	-	669	18
SCO0045	NC_003888.3	36689	36817	-	129	0
SCO0046	NC_003888.3	36816	37478	+	663	59
SCO0047	NC_003888.3	37614	38768	-	1155	227
SCO0048	NC_003888.3	39107	39490	-	384	29
SCO0049	NC_003888.3	39489	39812	+	324	31
SCO0050	NC_003888.3	39877	40212	+	336	18
SCO0055	NC_003888.3	42171	43682	-	1512	250
SCO0056	NC_003888.3	43768	43857	+	90	5
SCO0057	NC_003888.3	43950	44090	+	141	52
SCO0058	NC_003888.3	44253	44975	+	723	419
SCO0059	NC_003888.3	45267	46073	+	807	120
SCO0060	NC_003888.3	46064	46201	+	138	19
SCO0061	NC_003888.3	46430	47734	-	1305	181
SCO0062	NC_003888.3	47789	48892	-	1104	279
SCO0063	NC_003888.3	48889	49824	-	936	153
SCO0064	NC_003888.3	49821	51539	-	1719	40
SCO0065	NC_003888.3	51831	53144	+	1314	30
SCO0066	NC_003888.3	53141	54100	+	960	39
SCO0067	NC_003888.3	54097	54918	+	822	27
SCO0068	NC_003888.3	54968	56173	+	1206	16
SCO0069	NC_003888.3	56225	59383	+	3159	96
SCO0070	NC_003888.3	59558	60241	+	684	26
SCO0071	NC_003888.3	60069	60275	-	207	5
SCO0072	NC_003888.3	60740	64093	-	3354	419
SCO0073	NC_003888.3	64605	64925	+	321	8
SCO0074	NC_003888.3	64994	65092	+	99	2
SCO0075	NC_003888.3	65092	65679	+	588	25
SCO0079	NC_003888.3	66688	67911	-	1224	192
SCO0080	NC_003888.3	68372	68887	+	516	139
SCO0083	NC_003888.3	69799	70647	+	849	31
SCO0084	NC_003888.3	70777	71235	+	459	52
SCO0085	NC_003888.3	71648	72139	-	492	22
SCO0086	NC_003888.3	72159	73097	-	939	70
SCO0087	NC_003888.3	73784	74833	-	1050	64
SCO0088	NC_003888.3	74917	75876	-	960	45
SCO0089	NC_003888.3	75856	76893	+	1038	212
SCO0090	NC_003888.3	76895	77314	-	420	11
SCO0091	NC_003888.3	77315	78271	+	957	332
SCO0095	NC_003888.3	78983	79702	-	720	14
SCO0096	NC_003888.3	79839	80690	-	852	68
SCO0097	NC_003888.3	80845	81165	-	321	79
SCO0098	NC_003888.3	81602	82441	-	840	59
SCO0101	NC_003888.3	83516	83992	-	477	57
SCO0102	NC_003888.3	84893	85339	+	447	49
SCO0103	NC_003888.3	85336	86643	+	1308	80
SCO0104	NC_003888.3	86640	87311	+	672	66
SCO0105	NC_003888.3	87907	88632	-	726	114
SCO0106	NC_003888.3	89073	89465	+	393	154
SCO0107	NC_003888.3	89486	90043	-	558	551
SCO0108	NC_003888.3	90242	90391	+	150	13
SCO0109	NC_003888.3	90395	90865	-	471	31
SCO0110	NC_003888.3	90951	91790	-	840	210
SCO0111	NC_003888.3	91977	92729	+	753	25
SCO0112	NC_003888.3	92773	92928	-	156	4
SCO0116	NC_003888.3	94306	94872	-	567	119
SCO0117	NC_003888.3	94989	95681	+	693	24
SCO0118	NC_003888.3	95989	97518	+	1530	724
SCO0119	NC_003888.3	97760	98281	-	522	969
SCO0120	NC_003888.3	98463	99338	-	876	275
SCO0121	NC_003888.3	99335	99949	-	615	417
SCO0122	NC_003888.3	100190	101566	+	1377	238
SCO0123	NC_003888.3	101656	103002	-	1347	221
SCO0124	NC_003888.3	103628	104989	+	1362	747
SCO0125	NC_003888.3	105057	106640	+	1584	365
SCO0126	NC_003888.3	106637	112885	+	6249	2300
SCO0127	NC_003888.3	112932	119654	+	6723	1762
SCO0128	NC_003888.3	119651	119833	+	183	26
SCO0129	NC_003888.3	119841	120215	+	375	57
SCO0130	NC_003888.3	120457	121371	+	915	43
SCO0131	NC_003888.3	121617	122456	-	840	21
SCO0132	NC_003888.3	122743	125502	+	2760	1748
SCO0133	NC_003888.3	125625	126005	-	381	37
SCO0134	NC_003888.3	126989	127294	-	306	56
SCO0135	NC_003888.3	127571	128290	+	720	332
SCO0136	NC_003888.3	128634	130184	-	1551	156
SCO0137	NC_003888.3	130201	131001	-	801	212
SCO0138	NC_003888.3	131523	132296	+	774	54
SCO0139	NC_003888.3	132327	132647	+	321	29
SCO0140	NC_003888.3	132693	133520	+	828	344
SCO0141	NC_003888.3	133570	134121	-	552	528
SCO0142	NC_003888.3	134295	136100	-	1806	203
SCO0143	NC_003888.3	136647	137183	+	537	70
SCO0144	NC_003888.3	137197	137556	+	360	34
SCO0145	NC_003888.3	137561	138589	+	1029	147
SCO0147	NC_003888.3	138976	139467	+	492	43
SCO0148	NC_003888.3	139467	139712	+	246	34
SCO0149	NC_003888.3	139703	140299	-	597	65
SCO0150	NC_003888.3	140368	140862	+	495	42
SCO0151	NC_003888.3	141370	141708	+	339	14
SCO0152	NC_003888.3	141705	143315	+	1611	31
SCO0153	NC_003888.3	143776	144363	-	588	38
SCO0154	NC_003888.3	144704	145366	-	663	24
SCO0155	NC_003888.3	145499	146122	+	624	111
SCO0156	NC_003888.3	146034	146351	-	318	34
SCO0157	NC_003888.3	146603	146980	+	378	5
SCO0158	NC_003888.3	146977	148206	+	1230	67
SCO0159	NC_003888.3	148216	149184	+	969	227
SCO0160	NC_003888.3	149508	150209	-	702	1640
SCO0161	NC_003888.3	150181	150525	-	345	6
SCO0162	NC_003888.3	150579	151571	+	993	71
SCO0163	NC_003888.3	151749	153275	+	1527	2071
SCO0164	NC_003888.3	153398	155728	+	2331	805
SCO0165	NC_003888.3	155707	156120	-	414	452
SCO0166	NC_003888.3	156338	157141	+	804	1260
SCO0167	NC_003888.3	157189	158073	-	885	238
SCO0168	NC_003888.3	158732	159304	+	573	137
SCO0169	NC_003888.3	159372	160025	+	654	204
SCO0170	NC_003888.3	160356	161027	-	672	312
SCO0171	NC_003888.3	161237	162553	+	1317	35
SCO0172	NC_003888.3	162661	163119	+	459	1242
SCO0173	NC_003888.3	163235	164017	-	783	411
SCO0174	NC_003888.3	164023	164994	-	972	270
SCO0175	NC_003888.3	165059	165406	-	348	16
SCO0176	NC_003888.3	165460	165855	+	396	3
SCO0177	NC_003888.3	166033	166614	+	582	20
SCO0178	NC_003888.3	166891	167337	+	447	33
SCO0179	NC_003888.3	167444	168514	-	1071	305
SCO0180	NC_003888.3	168705	169556	-	852	45
SCO0181	NC_003888.3	169584	170570	-	987	39
SCO0182	NC_003888.3	170656	170880	-	225	5
SCO0183	NC_003888.3	170911	172158	+	1248	15
SCO0184	NC_003888.3	172170	173984	+	1815	16
SCO0185	NC_003888.3	173768	174946	+	1179	302
SCO0186	NC_003888.3	174943	176514	+	1572	543
SCO0187	NC_003888.3	176501	177496	+	996	377
SCO0188	NC_003888.3	177493	178503	+	1011	383
SCO0189	NC_003888.3	178519	180087	-	1569	500
SCO0190	NC_003888.3	180084	180824	-	741	180
SCO0191	NC_003888.3	180821	182038	-	1218	460
SCO0192	NC_003888.3	182309	183559	-	1251	1184
SCO0193	NC_003888.3	183793	184797	-	1005	1242
SCO0194	NC_003888.3	184958	185566	+	609	547
SCO0195	NC_003888.3	185675	186361	+	687	169
SCO0196	NC_003888.3	186483	186887	+	405	48
SCO0197	NC_003888.3	187019	187459	-	441	41
SCO0198	NC_003888.3	187992	188858	-	867	72
SCO0199	NC_003888.3	188864	189886	-	1023	34
SCO0200	NC_003888.3	189925	190830	-	906	51
SCO0201	NC_003888.3	190983	191654	-	672	14
SCO0202	NC_003888.3	191919	192848	+	930	42
SCO0203	NC_003888.3	192880	194637	-	1758	899
SCO0204	NC_003888.3	194760	195461	-	702	213
SCO0207	NC_003888.3	196386	196991	-	606	12
SCO0208	NC_003888.3	197221	199917	+	2697	188
SCO0209	NC_003888.3	200024	200428	+	405	96
SCO0210	NC_003888.3	200728	201369	+	642	29
SCO0211	NC_003888.3	201374	202090	+	717	26
SCO0212	NC_003888.3	202370	202843	-	474	32
SCO0213	NC_003888.3	202863	204101	-	1239	40
SCO0214	NC_003888.3	204387	204800	+	414	19
SCO0215	NC_003888.3	204881	205888	-	1008	33
SCO0216	NC_003888.3	206480	210181	+	3702	92
SCO0217	NC_003888.3	210183	211751	+	1569	32
SCO0218	NC_003888.3	211748	212551	+	804	8
SCO0219	NC_003888.3	212551	213321	+	771	40
SCO0220	NC_003888.3	213427	213870	+	444	21
SCO0222	NC_003888.3	214913	215446	+	534	309
SCO0223	NC_003888.3	215443	215559	+	117	79
SCO0224	NC_003888.3	215807	216844	-	1038	190
SCO0225	NC_003888.3	216834	217268	-	435	27
SCO0226	NC_003888.3	217315	218019	-	705	116
SCO0227	NC_003888.3	218418	218780	-	363	2
SCO0228	NC_003888.3	218973	219059	+	87	3
SCO0229	NC_003888.3	219302	220150	+	849	292
SCO0230	NC_003888.3	220150	220764	+	615	157
SCO0231	NC_003888.3	221092	221247	-	156	54
SCO0232	NC_003888.3	221414	221599	-	186	11
SCO0233	NC_003888.3	221699	222538	-	840	84
SCO0234	NC_003888.3	222827	223288	+	462	12
SCO0235	NC_003888.3	223294	224232	+	939	325
SCO0236	NC_003888.3	224404	225276	-	873	172
SCO0237	NC_003888.3	225476	226237	+	762	59
SCO0238	NC_003888.3	226481	227008	+	528	45
SCO0239	NC_003888.3	227081	228154	-	1074	92
SCO0240	NC_003888.3	228714	229649	-	936	69
SCO0241	NC_003888.3	229995	230669	+	675	71
SCO0242	NC_003888.3	231022	231465	+	444	361
SCO0243	NC_003888.3	231475	231654	+	180	126
SCO0244	NC_003888.3	232508	233518	+	1011	106
SCO0245	NC_003888.3	233854	234873	-	1020	121
SCO0246	NC_003888.3	234870	236207	-	1338	284
SCO0247	NC_003888.3	236782	237807	+	1026	968
SCO0248	NC_003888.3	237664	238251	-	588	296
SCO0249	NC_003888.3	238280	239794	-	1515	180
