# Program:featureCounts v2.0.1; Command:"featureCounts" "-T" "16" "-p" "-P" "-B" "-a" "/home/duc/dbMisc/M145.gff" "-t" "gene" "-g" "locus_tag" "--minOverlap" "20" "--fracOverlap" "0.25" "-o" "gene_counts_filtered/C45_1.txt" "align/C45_1.bam" 
Geneid	Chr	Start	End	Strand	Length	align/C45_1.bam
SCO0001	NC_003888.3	446	1123	+	678	24
SCO0002	NC_003888.3	1252	3813	+	2562	173
SCO0003	NC_003888.3	3869	6220	+	2352	89
SCO0004	NC_003888.3	6226	7173	+	948	213
SCO0005	NC_003888.3	7187	9307	+	2121	185
SCO0006	NC_003888.3	9304	10410	+	1107	17
SCO0007	NC_003888.3	10554	11000	-	447	6
SCO0008	NC_003888.3	11010	11360	-	351	2
SCO0009	NC_003888.3	11617	11952	-	336	2
SCO0010	NC_003888.3	12366	13457	+	1092	145
SCO0011	NC_003888.3	13214	14023	-	810	77
SCO0012	NC_003888.3	14044	14454	-	411	80
SCO0013	NC_003888.3	14739	15029	-	291	4
SCO0014	NC_003888.3	15317	15595	-	279	15
SCO0015	NC_003888.3	16070	17302	-	1233	3
SCO0016	NC_003888.3	17715	17918	+	204	5
SCO0017	NC_003888.3	17919	18263	+	345	15
SCO0018	NC_003888.3	18485	19351	-	867	149
SCO0019	NC_003888.3	19517	19771	-	255	11
SCO0020	NC_003888.3	19974	21620	+	1647	24
SCO0021	NC_003888.3	21617	22210	+	594	24
SCO0022	NC_003888.3	22156	22761	-	606	8
SCO0025	NC_003888.3	22843	23061	+	219	2
SCO0026	NC_003888.3	23316	23831	+	516	68
SCO0027	NC_003888.3	23977	24345	-	369	19
SCO0028	NC_003888.3	24378	24521	-	144	1
SCO0029	NC_003888.3	24644	24943	+	300	3
SCO0030	NC_003888.3	25251	25871	+	621	5
SCO0031	NC_003888.3	25843	26385	-	543	15
SCO0033	NC_003888.3	26527	28773	-	2247	4
SCO0034	NC_003888.3	29040	29519	+	480	1
SCO0035	NC_003888.3	29605	30054	-	450	4
SCO0036	NC_003888.3	30116	30355	-	240	16
SCO0037	NC_003888.3	30379	31131	-	753	102
SCO0038	NC_003888.3	31146	31274	-	129	94
SCO0039	NC_003888.3	31520	32137	+	618	21
SCO0040	NC_003888.3	32134	33357	+	1224	22
SCO0041	NC_003888.3	33360	33845	+	486	5
SCO0042	NC_003888.3	33842	34777	+	936	50
SCO0043	NC_003888.3	35179	35907	-	729	500
SCO0044	NC_003888.3	36006	36674	-	669	2
SCO0045	NC_003888.3	36689	36817	-	129	1
SCO0046	NC_003888.3	36816	37478	+	663	29
SCO0047	NC_003888.3	37614	38768	-	1155	181
SCO0048	NC_003888.3	39107	39490	-	384	7
SCO0049	NC_003888.3	39489	39812	+	324	16
SCO0050	NC_003888.3	39877	40212	+	336	5
SCO0055	NC_003888.3	42171	43682	-	1512	164
SCO0056	NC_003888.3	43768	43857	+	90	1
SCO0057	NC_003888.3	43950	44090	+	141	26
SCO0058	NC_003888.3	44253	44975	+	723	282
SCO0059	NC_003888.3	45267	46073	+	807	97
SCO0060	NC_003888.3	46064	46201	+	138	17
SCO0061	NC_003888.3	46430	47734	-	1305	209
SCO0062	NC_003888.3	47789	48892	-	1104	317
SCO0063	NC_003888.3	48889	49824	-	936	162
SCO0064	NC_003888.3	49821	51539	-	1719	31
SCO0065	NC_003888.3	51831	53144	+	1314	13
SCO0066	NC_003888.3	53141	54100	+	960	25
SCO0067	NC_003888.3	54097	54918	+	822	9
SCO0068	NC_003888.3	54968	56173	+	1206	7
SCO0069	NC_003888.3	56225	59383	+	3159	40
SCO0070	NC_003888.3	59558	60241	+	684	8
SCO0071	NC_003888.3	60069	60275	-	207	3
SCO0072	NC_003888.3	60740	64093	-	3354	203
SCO0073	NC_003888.3	64605	64925	+	321	5
SCO0074	NC_003888.3	64994	65092	+	99	0
SCO0075	NC_003888.3	65092	65679	+	588	21
SCO0079	NC_003888.3	66688	67911	-	1224	125
SCO0080	NC_003888.3	68372	68887	+	516	53
